root_relax = 1729.0
opt = false
obj_val = 1414.2
solved_time = 1800.0108
explored_nodes = 130925369
 LogFile to value "./res/Gurobi/QP/bcc4004.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 22:09:01 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc4004.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 63 columns and 0 nonzeros
Model fingerprint: 0x6b2727ff
Model has 1729 quadratic objective terms
Variable types: 0 continuous, 63 integer (63 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [1e+01, 6e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 63 integer (63 binary)

Root relaxation: objective 2.640045e+03, 73 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 98709679 66191441 1283.64122   34   34  955.00000 1418.26088  48.5%   2.6 1370s
 99093230 66437106 1029.29574   45   23  955.00000 1418.19965  48.5%   2.6 1375s
 99481013 66687830 1029.04593   44   21  955.00000 1418.13614  48.5%   2.6 1380s
 99876014 66928750 1327.36363   33   35  955.00000 1418.01798  48.5%   2.6 1385s
 100269868 67174264 1114.34526   40   28  955.00000 1417.95484  48.5%   2.6 1390s
 100652877 67426683 1079.12763   42   26  955.00000 1417.89979  48.5%   2.6 1395s
 101025044 67666300 1057.46213   43   25  955.00000 1417.79417  48.5%   2.6 1400s
 101409633 67910077 1371.68237   32   36  955.00000 1417.72613  48.5%   2.6 1405s
 101794393 68146828 1060.51175   43   25  955.00000 1417.68224  48.4%   2.6 1410s
 102170288 68395059 1028.50518   45   23  955.00000 1417.61065  48.4%   2.6 1415s
 102547877 68635223 1139.26781   39   29  955.00000 1417.46244  48.4%   2.6 1420s
 102921067 68872958 1322.33999   33   35  955.00000 1417.37144  48.4%   2.6 1425s
 103301894 69121179 1095.12518   41   27  955.00000 1417.31760  48.4%   2.6 1430s
 103693417 69363526 1055.36469   43   24  955.00000 1417.26621  48.4%   2.6 1435s
 104070390 69601699 1284.20433   34   35  955.00000 1417.22814  48.4%   2.6 1440s
 104454823 69834417  984.35698   48   20  955.00000 1417.17617  48.4%   2.6 1445s
 104846297 70069069 1323.37305   33   36  955.00000 1417.13138  48.4%   2.6 1450s
 105219324 70314486 1184.58665   37   33  955.00000 1417.06142  48.4%   2.6 1455s
 105595883 70556349 1166.34455   38   29  955.00000 1416.99944  48.4%   2.6 1460s
 105981266 70795443 1032.87104   44   25  955.00000 1416.95739  48.4%   2.6 1465s
 106355826 71029715 1216.43290   36   33  955.00000 1416.91277  48.4%   2.6 1470s
 106739865 71271052 1284.13436   34   34  955.00000 1416.84073  48.4%   2.6 1475s
 107126438 71512179 1217.81020   36   32  955.00000 1416.75394  48.4%   2.6 1480s
 107496957 71747699 1079.98763   42   26  955.00000 1416.72437  48.3%   2.6 1485s
 107877750 71991828 1118.91211   40   28  955.00000 1416.68801  48.3%   2.6 1490s
 108252836 72229539 1041.03985   44   24  955.00000 1416.64440  48.3%   2.6 1495s
 108628589 72464955 1216.54764   36   33  955.00000 1416.58578  48.3%   2.6 1500s
 108999489 72706158  957.76552   50   19  955.00000 1416.48339  48.3%   2.6 1505s
 109379680 72929045 1247.76693   35   33  955.00000 1416.40680  48.3%   2.6 1510s
 109749502 73168538 1192.88053   37   31  955.00000 1416.34789  48.3%   2.6 1515s
 110117661 73410382 1250.02711   35   33  955.00000 1416.30421  48.3%   2.6 1520s
 110490047 73643566 1416.26076   31   37  955.00000 1416.26249  48.3%   2.6 1525s
 110858265 73881622 1285.99498   34   34  955.00000 1416.23629  48.3%   2.6 1530s
 111224370 74123743 1000.40493   46   23  955.00000 1416.20470  48.3%   2.6 1535s
 111599709 74354961 1192.10000   37   31  955.00000 1416.15710  48.3%   2.6 1540s
 111983893 74586979 1089.47563   41   29  955.00000 1416.10609  48.3%   2.6 1545s
 112358096 74829232 1047.48895   44   23  955.00000 1416.05640  48.3%   2.6 1550s
 112727766 75070017 1143.15316   39   29  955.00000 1416.01353  48.3%   2.6 1555s
 113110758 75310392 1131.62721   39   27  955.00000 1415.99190  48.3%   2.6 1560s
 113483003 75552027 1078.72692   42   27  955.00000 1415.96722  48.3%   2.6 1565s
 113864785 75793951 1118.60692   40   28  955.00000 1415.93439  48.3%   2.6 1570s
 114241272 76037959 1098.55387   40   30  955.00000 1415.88808  48.3%   2.6 1575s
 114619053 76276760 1136.28511   39   29  955.00000 1415.82800  48.3%   2.6 1580s
 115004291 76515936 1140.28582   39   26  955.00000 1415.76943  48.2%   2.6 1585s
 115380059 76755266  984.60110   47   21  955.00000 1415.73817  48.2%   2.6 1590s
 115742685 76978409 1369.34473   32   36  955.00000 1415.71778  48.2%   2.6 1595s
 116097661 77200397  973.90494   48   21  955.00000 1415.69119  48.2%   2.6 1600s
 116431452 77413937 1160.02029   38   30  955.00000 1415.66069  48.2%   2.6 1605s
 116802018 77646427 1214.61384   36   34  955.00000 1415.62779  48.2%   2.6 1610s
 117169821 77876345 1280.66321   34   35  955.00000 1415.53965  48.2%   2.6 1615s
 117542185 78115204 1018.73172   45   21  955.00000 1415.46307  48.2%   2.6 1620s
 117910219 78348853  955.15854   51   18  955.00000 1415.42333  48.2%   2.6 1625s
 118275644 78585993 1092.34301   41   27  955.00000 1415.38154  48.2%   2.6 1630s
 118647060 78819360 1163.12860   38   31  955.00000 1415.33410  48.2%   2.6 1635s
 119012470 79057528 1282.41063   34   35  955.00000 1415.29279  48.2%   2.6 1640s
 119381140 79288200 1370.11499   32   36  955.00000 1415.26064  48.2%   2.6 1645s
 119751322 79521162 1133.28706   39   32  955.00000 1415.23382  48.2%   2.6 1650s
 120107424 79757521 1187.60539   37   33  955.00000 1415.21513  48.2%   2.6 1655s
 120473556 79994401 1116.61423   40   29  955.00000 1415.18726  48.2%   2.6 1660s
 120851563 80230085 1013.82281   45   21  955.00000 1415.12699  48.2%   2.6 1665s
 121224670 80461179 1088.62987   41   28  955.00000 1415.08386  48.2%   2.6 1670s
 121604944 80699146 1068.97008   42   27  955.00000 1415.03898  48.2%   2.6 1675s
 121980605 80942584 1139.53292   39   29  955.00000 1415.01224  48.2%   2.6 1680s
 122363924 81185512 1074.98681   42   28  955.00000 1414.98936  48.2%   2.6 1685s
 122742075 81425704 1156.07785   38   34  955.00000 1414.96779  48.2%   2.6 1690s
 123125595 81662661  963.25500   50   18  955.00000 1414.95045  48.2%   2.6 1695s
 123510588 81892638  989.49153   47   22  955.00000 1414.91944  48.2%   2.6 1700s
 123886181 82128074  964.15059   50   18  955.00000 1414.86512  48.2%   2.6 1705s
 124262645 82367535  976.04625   48   22  955.00000 1414.80777  48.1%   2.6 1710s
 124631199 82599643  966.37273   50   19  955.00000 1414.76861  48.1%   2.6 1715s
 125006982 82831625 1087.82135   41   29  955.00000 1414.74024  48.1%   2.6 1720s
 125388852 83063112 1368.34990   32   35  955.00000 1414.71759  48.1%   2.6 1725s
 125744753 83303695  957.75494   50   19  955.00000 1414.69669  48.1%   2.6 1730s
 126124935 83541286 1036.33499   44   26  955.00000 1414.66484  48.1%   2.6 1735s
 126504398 83772968 1247.04139   35   33  955.00000 1414.64081  48.1%   2.6 1740s
 126880814 84007184  974.69819   49   20  955.00000 1414.57583  48.1%   2.6 1745s
 127258229 84239052     cutoff   50       955.00000 1414.47466  48.1%   2.6 1750s
 127631148 84466091  969.41952   50   19  955.00000 1414.43878  48.1%   2.6 1755s
 127997962 84702537 1218.14307   36   33  955.00000 1414.40560  48.1%   2.6 1760s
 128364415 84936487 1050.05088   43   26  955.00000 1414.36908  48.1%   2.6 1765s
 128737483 85170543 1052.55029   43   26  955.00000 1414.33247  48.1%   2.6 1770s
 129095724 85403977 1367.24931   32   38  955.00000 1414.29635  48.1%   2.6 1775s
 129463180 85644434 1157.89608   38   33  955.00000 1414.27215  48.1%   2.6 1780s
 129829722 85878745     cutoff   50       955.00000 1414.24910  48.1%   2.6 1785s
 130196074 86114754 1215.67474   36   33  955.00000 1414.23147  48.1%   2.6 1790s
 130562653 86346987 1186.38425   37   30  955.00000 1414.21613  48.1%   2.6 1795s
 130924820 86581730     cutoff   50       955.00000 1414.19556  48.1%   2.6 1800s

Explored 130925369 nodes (336864677 simplex iterations) in 1800.01 seconds (3321.19 work units)
Thread count was 20 (of 40 available processors)

Solution count 5: 955 954 953 ... 940

Time limit reached
Best objective 9.550000000000e+02, best bound 1.414195559589e+03, gap 48.0833%

User-callback calls 261941170, time in user-callback 36.77 sec
