root_relax = 925.0
opt = false
obj_val = 663.16
solved_time = 1805.1088
explored_nodes = 133637322
nb_dom_cuts = 238
"./res/Gurobi/QP_Dom/bcc86501.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Thu Feb  6 01:43:31 2025

Set parameter LogFile to value "./res/Gurobi/QP_Dom/bcc86501.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 238 rows, 67 columns and 2546 nonzeros
Model fingerprint: 0x3fa2f9e4
Model has 925 quadratic objective terms
Variable types: 0 continuous, 67 integer (67 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+00, 5e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+01]
Variable types: 0 continuous, 67 integer (67 binary)

Root relaxation: objective 1.605149e+03, 83 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1605.14920    0   66          - 1605.14920      -     -    0s
     0     0  925.00000    0   66          -  925.00000      -     -    0s
     0     2  925.00000    0   66          -  925.00000      -     -    0s
* 1743  2046              64     487.0000000  925.00000  89.9%   3.0    0s
* 1758  2034              61     492.0000000  925.00000  88.0%   2.9    0s
* 2790  2740              56     493.0000000  925.00000  87.6%   3.0    0s
* 2839  2730              55     494.0000000  925.00000  87.2%   3.0    0s
 108894639 77423429  557.75850   36   36  494.00000  664.47398  34.5%   3.3 1405s
 109288619 77700525  636.55180   32   41  494.00000  664.47398  34.5%   3.3 1410s
 109681310 77981736  528.18041   39   37  494.00000  664.47398  34.5%   3.3 1415s
 110073868 78259697  494.25582   49   15  494.00000  664.47398  34.5%   3.3 1420s
 110462781 78534055  494.19622   57    7  494.00000  664.19623  34.5%   3.3 1425s
 110870350 78824790  524.91475   39   32  494.00000  664.19623  34.5%   3.3 1430s
 111285045 79110730  494.77955   56    9  494.00000  664.19623  34.5%   3.3 1435s
 111692868 79398991  495.43662   53   13  494.00000  664.19623  34.5%   3.3 1440s
 112105228 79685586  495.02900   55    9  494.00000  664.19623  34.5%   3.3 1445s
 112512639 79967012  514.30789   42   30  494.00000  664.19623  34.5%   3.3 1450s
 112912953 80254377  494.43247   51   18  494.00000  664.19623  34.5%   3.3 1455s
 113312108 80536775  533.93111   38   33  494.00000  664.19623  34.5%   3.3 1460s
 113709924 80811205  636.45422   32   41  494.00000  664.19623  34.5%   3.3 1465s
 114109248 81086029  544.77416   37   35  494.00000  664.19623  34.5%   3.3 1470s
 114511752 81366362  572.12076   35   37  494.00000  664.19623  34.5%   3.3 1475s
 114911206 81640063  573.45342   35   38  494.00000  664.19623  34.5%   3.3 1480s
 115303184 81921119  528.18041   39   37  494.00000  664.19623  34.5%   3.3 1485s
 115691920 82193830  636.45422   32   41  494.00000  664.19623  34.5%   3.3 1490s
 116084913 82467272  517.41447   40   31  494.00000  664.19623  34.5%   3.3 1495s
 116485197 82742466  573.45342   35   38  494.00000  664.19623  34.5%   3.2 1500s
 116874263 83016695  542.87263   37   34  494.00000  664.19623  34.5%   3.2 1505s
 117257056 83289562  612.23613   33   40  494.00000  664.19623  34.5%   3.2 1510s
 117648634 83559241  664.16952   31   41  494.00000  664.19623  34.5%   3.2 1515s
 118038227 83825248  546.05277   37   39  494.00000  664.19623  34.5%   3.2 1520s
 118439381 84104110  572.12076   35   37  494.00000  664.19623  34.5%   3.2 1525s
 118835241 84379911  572.12076   35   37  494.00000  664.19623  34.5%   3.2 1530s
 119235407 84648024  573.14480   35   37  494.00000  664.19623  34.5%   3.2 1535s
 119642876 84922998  546.12582   37   36  494.00000  664.19623  34.5%   3.2 1540s
 120033884 85198639  536.03704   38   35  494.00000  664.19623  34.5%   3.2 1545s
 120417500 85469443  636.45422   32   41  494.00000  664.19623  34.5%   3.2 1550s
 120811064 85749213  494.69622   55    8  494.00000  664.19623  34.5%   3.2 1555s
 121207058 86019920  545.81367   37   35  494.00000  664.19623  34.5%   3.2 1560s
 121609811 86293801  499.88487   49   17  494.00000  664.19623  34.5%   3.2 1565s
 122010519 86571873  573.45342   35   38  494.00000  664.19623  34.5%   3.2 1570s
 122398705 86845424  508.03682   44   29  494.00000  664.19623  34.5%   3.2 1575s
 122785481 87118299  494.19622   57    7  494.00000  664.19623  34.5%   3.2 1580s
 123181352 87389403  546.05277   37   39  494.00000  664.19623  34.5%   3.2 1585s
 123580389 87673362  517.76319   41   35  494.00000  664.19623  34.5%   3.2 1590s
 123984654 87957288  497.41570   52   13  494.00000  664.19623  34.5%   3.2 1595s
 124380589 88231158  494.52900   56    8  494.00000  664.19623  34.5%   3.2 1600s
 124786026 88511913  636.45422   32   41  494.00000  664.19623  34.5%   3.2 1605s
 125186417 88790733  516.39768   41   31  494.00000  664.19623  34.5%   3.2 1610s
 125590608 89074589  495.01262   52   14  494.00000  664.19623  34.5%   3.2 1615s
 125998159 89360583  573.14480   35   37  494.00000  664.19623  34.5%   3.2 1620s
 126405550 89640965  494.77955   55    9  494.00000  664.19623  34.5%   3.2 1625s
 126800595 89916685  502.35857   47   19  494.00000  664.16952  34.4%   3.2 1630s
 127204684 90195037  522.24146   40   33  494.00000  664.16952  34.4%   3.2 1635s
 127580287 90456361  508.03682   44   29  494.00000  664.16952  34.4%   3.2 1640s
 127968790 90724180  499.06160   46   19  494.00000  664.16952  34.4%   3.2 1645s
 128349180 90989206  573.14480   35   37  494.00000  664.16952  34.4%   3.2 1650s
 128702348 91233462  497.41570   52   13  494.00000  664.16952  34.4%   3.2 1655s
 129094703 91503632  499.88487   49   17  494.00000  663.16381  34.2%   3.2 1660s
 129482969 91773728  536.13639   38   35  494.00000  663.16381  34.2%   3.2 1665s
 129848692 92036680  545.81367   37   35  494.00000  663.16381  34.2%   3.2 1670s
 130223706 92293705  556.32110   36   35  494.00000  663.16381  34.2%   3.2 1675s
 130540163 92520256  494.43897   51   17  494.00000  663.16381  34.2%   3.2 1680s
 130862811 92747636  517.76319   41   35  494.00000  663.16381  34.2%   3.2 1685s
 131211794 92994062  502.35857   47   19  494.00000  663.16381  34.2%   3.2 1690s
 131544067 93223548  497.09201   48   18  494.00000  663.16381  34.2%   3.2 1695s
 131864113 93448586  591.19356   34   39  494.00000  663.16381  34.2%   3.2 1700s
 132219557 93687415  542.87263   37   34  494.00000  663.16381  34.2%   3.2 1705s
 132545447 93914388  572.12076   35   37  494.00000  663.16381  34.2%   3.2 1710s
 132842934 94120041  546.12582   37   36  494.00000  663.16381  34.2%   3.2 1715s
 133159338 94338468  526.87131   39   33  494.00000  663.16381  34.2%   3.2 1720s
 133480129 94564337  514.30789   42   30  494.00000  663.16381  34.2%   3.2 1725s
 133632764 94670580  634.43091   32   39  494.00000  663.16381  34.2%   3.2 1731s
 133635625 94671799  573.45342   35   38  494.00000  663.16381  34.2%   3.2 1804s

Explored 133637322 nodes (431543237 simplex iterations) in 1805.05 seconds (1563.05 work units)
Thread count was 20 (of 40 available processors)

Solution count 4: 494 493 492 487 

Time limit reached
Best objective 4.940000000000e+02, best bound 6.631638059154e+02, gap 34.2437%

User-callback calls 267338172, time in user-callback 40.31 sec
