root_relax = 570.0
opt = false
obj_val = 347.01
solved_time = 1800.0122
explored_nodes = 143786993
nb_dom_cuts = 320
"./res/Gurobi/QP_Dom/bcc86527.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Thu Feb  6 02:22:17 2025

Set parameter LogFile to value "./res/Gurobi/QP_Dom/bcc86527.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 320 rows, 78 columns and 3632 nonzeros
Model fingerprint: 0x2479c44d
Model has 570 quadratic objective terms
Variable types: 0 continuous, 78 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+00, 4e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 2e+01]
Variable types: 0 continuous, 78 integer (78 binary)

Root relaxation: objective 7.256954e+02, 96 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  725.69537    0   77          -  725.69537      -     -    0s
     0     0  570.00000    0   77          -  570.00000      -     -    0s
     0     2  570.00000    0   77          -  570.00000      -     -    0s
* 1443  1684              56     323.0000000  570.00000  76.5%   3.5    0s
* 2277  2298              50     324.0000000  570.00000  75.9%   3.3    0s
 114214450 72795212  337.58774   37   41  324.00000  347.40123  7.22%   3.6 1420s
 114588422 73020900  342.93107   34   48  324.00000  347.40123  7.22%   3.6 1425s
 114967565 73253880  324.60343   53   15  324.00000  347.40123  7.22%   3.6 1430s
 115344903 73483592  332.54393   41   31  324.00000  347.40123  7.22%   3.7 1435s
 115718848 73711741  324.36671   48   23  324.00000  347.40123  7.22%   3.7 1440s
 116095733 73940897  324.64486   49   21  324.00000  347.40123  7.22%   3.7 1445s
 116475880 74173834  333.22211   40   35  324.00000  347.40123  7.22%   3.7 1450s
 116854542 74405487  332.54393   41   31  324.00000  347.40123  7.22%   3.7 1455s
 117237671 74636362  334.90223   39   35  324.00000  347.40123  7.22%   3.7 1460s
 117620619 74868504  336.20464   37   44  324.00000  347.40123  7.22%   3.7 1465s
 118002333 75095190  329.18423   44   25  324.00000  347.40123  7.22%   3.7 1470s
 118387291 75328983  324.61780   48   21  324.00000  347.40123  7.22%   3.7 1475s
 118764017 75553147  340.36097   35   49  324.00000  347.40123  7.22%   3.7 1480s
 119146798 75784652  324.07787   58    7  324.00000  347.40123  7.22%   3.7 1485s
 119533706 76017601  329.82195   43   28  324.00000  347.40123  7.22%   3.7 1490s
 119921314 76242504  326.13479   47   20  324.00000  347.40123  7.22%   3.7 1495s
 120306643 76461867  326.07686   48   22  324.00000  347.40123  7.22%   3.7 1500s
 120694076 76675297  324.21803   52   15  324.00000  347.40123  7.22%   3.7 1505s
 121081503 76892204  324.35210   52   18  324.00000  347.40123  7.22%   3.7 1510s
 121469367 77115150  339.65467   36   43  324.00000  347.40123  7.22%   3.7 1515s
 121860693 77344408  340.91043   35   47  324.00000  347.40123  7.22%   3.7 1520s
 122245424 77561479  324.21803   52   15  324.00000  347.40123  7.22%   3.7 1525s
 122636092 77779589  326.07686   48   22  324.00000  347.40123  7.22%   3.7 1530s
 123027910 77999921  336.21548   38   41  324.00000  347.40123  7.22%   3.7 1535s
 123415051 78211327  325.60343   51   17  324.00000  347.40123  7.22%   3.7 1540s
 123809616 78430859  342.93107   34   48  324.00000  347.40123  7.22%   3.7 1545s
 124199361 78646106  325.10343   52   16  324.00000  347.40123  7.22%   3.7 1550s
 124591255 78866110  345.16561   33   48  324.00000  347.40123  7.22%   3.7 1555s
 124971804 79079011  336.21548   38   41  324.00000  347.40123  7.22%   3.7 1560s
 125361987 79295458  325.10343   52   16  324.00000  347.40123  7.22%   3.7 1565s
 125750086 79506495  340.91043   35   47  324.00000  347.40123  7.22%   3.7 1570s
 126137461 79720898  324.16732   51   16  324.00000  347.40123  7.22%   3.7 1575s
 126528186 79935186  324.37483   57    8  324.00000  347.40123  7.22%   3.7 1580s
 126915811 80149472  340.36097   35   49  324.00000  347.40123  7.22%   3.7 1585s
 127308262 80369699  330.72011   43   27  324.00000  347.40123  7.22%   3.7 1590s
 127694327 80586382  326.73408   45   26  324.00000  347.40123  7.22%   3.7 1595s
 128082999 80803094  333.48338   39   39  324.00000  347.40123  7.22%   3.7 1600s
 128467977 81018928  324.74353   49   20  324.00000  347.40123  7.22%   3.7 1605s
 128847912 81237401  335.21831   39   36  324.00000  347.40123  7.22%   3.7 1610s
 129234784 81460768  330.63316   40   35  324.00000  347.40123  7.22%   3.7 1615s
 129627524 81674128  328.34516   41   34  324.00000  347.40123  7.22%   3.7 1620s
 130011093 81887466  342.93107   34   48  324.00000  347.40123  7.22%   3.7 1625s
 130398170 82103492  341.55552   35   47  324.00000  347.40123  7.22%   3.7 1630s
 130787720 82318205  324.60343   53   15  324.00000  347.40123  7.22%   3.7 1635s
 131173268 82535011  340.30432   36   43  324.00000  347.40123  7.22%   3.7 1640s
 131563794 82750794  340.91043   35   47  324.00000  347.40123  7.22%   3.7 1645s
 131955033 82966394  330.18493   43   29  324.00000  347.40123  7.22%   3.7 1650s
 132337250 83179112  342.93107   34   48  324.00000  347.40123  7.22%   3.7 1655s
 132725088 83394818  328.32843   45   24  324.00000  347.40123  7.22%   3.7 1660s
 133109265 83609257  332.54393   41   31  324.00000  347.40123  7.22%   3.7 1665s
 133495549 83826316  341.55552   35   47  324.00000  347.40123  7.22%   3.7 1670s
 133888373 84046234  325.37064   46   23  324.00000  347.40123  7.22%   3.7 1675s
 134274575 84256530  333.22211   40   35  324.00000  347.40123  7.22%   3.7 1680s
 134661149 84474450  329.50193   44   26  324.00000  347.40123  7.22%   3.7 1685s
 135050002 84696321  330.54856   43   25  324.00000  347.00896  7.10%   3.7 1690s
 135450971 84945647  334.24577   40   33  324.00000  347.00896  7.10%   3.7 1695s
 135848212 85193915  344.50503   33   46  324.00000  347.00896  7.10%   3.7 1700s
 136250083 85448195  344.50503   33   46  324.00000  347.00896  7.10%   3.7 1705s
 136654500 85702629  344.50503   33   46  324.00000  347.00896  7.10%   3.7 1710s
 137050576 85950831     cutoff   45       324.00000  347.00896  7.10%   3.7 1715s
 137450478 86201918  335.99680   39   34  324.00000  347.00896  7.10%   3.7 1720s
 137851132 86453785  326.14236   50   14  324.00000  347.00896  7.10%   3.7 1725s
 138243964 86701588  324.20266   51   13  324.00000  347.00896  7.10%   3.7 1730s
 138636042 86948302  337.01991   38   39  324.00000  347.00896  7.10%   3.7 1735s
 139028627 87190905  344.50503   33   46  324.00000  347.00896  7.10%   3.7 1740s
 139434380 87433855  336.97559   38   39  324.00000  347.00896  7.10%   3.7 1745s
 139829445 87675566  335.98174   39   34  324.00000  347.00896  7.10%   3.7 1750s
 140229367 87921179  324.75780   51   16  324.00000  347.00896  7.10%   3.7 1755s
 140625588 88163484  347.00896   32   52  324.00000  347.00896  7.10%   3.7 1760s
 141020543 88402336  325.83230   51   13  324.00000  347.00896  7.10%   3.7 1765s
 141420621 88639507  342.46437   34   45  324.00000  347.00896  7.10%   3.7 1770s
 141820929 88876383  344.53342   33   46  324.00000  347.00896  7.10%   3.7 1775s
 142219479 89113645  343.36688   34   43  324.00000  347.00896  7.10%   3.7 1780s
 142609557 89355761  329.96756   44   25  324.00000  347.00896  7.10%   3.7 1785s
 142999443 89597461  329.05498   44   24  324.00000  347.00896  7.10%   3.7 1790s
 143392755 89842108  324.86613   47   21  324.00000  347.00896  7.10%   3.7 1795s

Explored 143786993 nodes (527456766 simplex iterations) in 1800.01 seconds (1215.19 work units)
Thread count was 20 (of 40 available processors)

Solution count 2: 324 323 

Time limit reached
Best objective 3.240000000000e+02, best bound 3.470089583397e+02, gap 7.1015%

User-callback calls 287651244, time in user-callback 41.80 sec
